ev_id,stn_id,mag,stacked_qs,stacked_t_star,mean_qs,mean_t_star,stdev_qs,stdev_t_star,t7,t8,judge_result,ev_lat,ev_lon,ev_dep,stn_lat,stn_lon,azim,b_azim,ev_origin,ev_p_arrival,ev_s_arrival,outliers_removed,max_amp
15311_22_23_55.193,IL06,4.2,428.194,0.0847529,428.3473237,0.08576376,47.53166398,0.009445714,2.73438,17.0898,GOOD,-31.4511,-71.9184,32.6,-30.405,-70.5666,48.4342,227.743,23:55.2,24:22.9,24:43.6,YES,10.37848
15311_22_23_55.193,IL09,4.2,624.18,0.0654225,634.81,0.064732157,51.45,0.004313476,2.58789,19.2871,GOOD,-31.4511,-71.9184,32.6,-30.0378,-70.6979,37.0305,216.41,23:55.2,24:25.3,24:48.7,NO,10.07413
15311_23_56_21.445,IL04,4.3,458.595,0.0284564,460.99,0.02847679,34.57,0.001840011,4.15039,19.4824,GOOD,-30.7302,-71.3718,53.45,-30.6997,-70.9223,85.6318,265.403,56:21.4,56:32.1,56:39.5,NO,13.45258
15311_23_56_21.445,IL06,4.3,791.275,0.0244616,745.96,0.031043548,293.23,0.011913666,8.30078,16.8457,BAD,-30.7302,-71.3718,53.45,-30.405,-70.5666,65.1898,244.782,56:21.4,56:36.9,56:47.8,NO,12.45859
15311_23_56_21.445,IL09,4.3,302.36,0.0708908,310.695775,0.077638667,87.38982589,0.033515973,11.5723,18.7012,BAD,-30.7302,-71.3718,53.45,-30.0378,-70.6979,40.329,219.99,56:21.4,56:38.5,56:50.6,YES,12.2384
15312_21_34_2.261,IL06,4,872.162,0.0490566,869.5236241,0.049503791,68.01523472,0.003828479,4.63867,19.9707,GOOD,-31.8302,-71.9516,32.95,-30.405,-70.5666,40.2564,219.544,34:02.3,34:34.6,34:59.0,YES,8.00903
15312_21_34_2.261,IL11,4,381.45,0.0279564,338.6091737,0.032691322,66.95709232,0.006222778,2.00195,19.9707,BAD,-31.8302,-71.9516,32.95,-31.608,-71.5259,58.6974,238.475,34:02.3,34:11.3,34:17.2,YES,12.73419
15313_15_43_8.523,IL09,4.1,1113.9,0.0450487,1121.049866,0.0456292,156.161264,0.006311584,2.00195,19.5801,GOOD,-31.7953,-72.0525,21.9375,-30.0378,-70.6979,33.9519,213.259,43:08.5,43:44.8,44:13.7,YES,8.098489
15313_15_43_8.523,IL11,4.1,117.337,0.112246,119.99,0.112033062,17.23,0.01385163,4.83398,19.9707,GOOD,-31.7953,-72.0525,21.9375,-31.608,-71.5259,67.5394,247.264,43:08.5,43:17.8,43:25.4,NO,11.03632
15313_5_50_27.891,IL04,4.1,290.418,0.0554826,279.1199575,0.058043248,20.93318803,0.004216204,2.68555,19.9707,GOOD,-30.2779,-71.3658,54.7,-30.6997,-70.9223,137.79,317.566,50:27.9,50:40.3,50:49.5,YES,11.54636
15313_5_50_27.891,IL06,4.1,386.851,0.0473914,403.59,0.046812177,65.97,0.006863709,8.25195,19.9707,BAD,-30.2779,-71.3658,54.7,-30.405,-70.5666,100.596,280.194,50:27.9,50:42.7,50:53.1,NO,11.29724
15313_5_50_27.891,IL09,4.1,423.831,0.041271,517.73,0.036669176,162.71,0.008265435,3.61328,19.9707,BAD,-30.2779,-71.3658,54.7,-30.0378,-70.6979,67.6899,247.356,50:27.9,50:41.3,50:51.2,NO,11.00642
15313_5_50_27.891,IL11,4.1,394.781,0.081556,383.59,0.085412718,51.9,0.009062524,4.15039,19.9707,GOOD,-30.2779,-71.3658,54.7,-31.608,-71.5259,185.884,5.96558,50:27.9,50:51.4,51:09.9,NO,9.810932
15313_5_50_27.891,IL01,4.1,267.001,0.0374908,268.7142188,0.037467327,20.3714691,0.002859938,4.00391,19.9707,GOOD,-30.2779,-71.3658,54.7,-31.2569,-71.5899,191.123,11.2374,50:27.9,50:36.5,50:42.1,YES,11.67293
15314_12_58_37.809,IL04,4.7,801.634,0.0178445,917.0277049,0.014952635,445.5298654,0.012936727,3.27148,18.5547,BAD,-30.845,-71.3689,51.7625,-30.6997,-70.9223,69.4742,249.247,58:37.8,58:48.3,58:56.5,YES,13.39216
15314_12_58_37.809,IL06,4.7,704.588,0.0307793,722.5573862,0.030825978,124.4535689,0.004764962,2.53906,19.9707,BAD,-30.845,-71.3689,51.7625,-30.405,-70.5666,57.8252,237.419,58:37.8,58:53.5,59:06.0,YES,12.07713
15314_12_58_37.809,IL09,4.7,2095.85,0.0114179,2083.596519,0.012193373,535.9554631,0.002873215,2.63672,17.8711,BAD,-30.845,-71.3689,51.7625,-30.0378,-70.6979,35.9315,215.593,58:37.8,58:56.2,59:09.8,YES,11.82055
15314_12_58_37.809,IL11,4.7,177.767,0.105561,179.2671885,0.106468251,23.76919804,0.013732882,3.32031,18.75,GOOD,-30.845,-71.3689,51.7625,-31.608,-71.5259,189.99,10.0709,58:37.8,58:52.9,59:03.5,YES,12.39168
15314_12_58_37.809,IL01,4.7,-405.489,-0.0396393,13.00978611,-0.030626103,864.3213543,0.038939952,14.9902,19.9707,BAD,-30.845,-71.3689,51.7625,-31.2569,-71.5899,204.735,24.848,58:37.8,58:50.6,58:59.7,YES,12.56863
15314_19_38_22.858,IL04,4.2,2085.81,0.00652932,2980.185005,0.006739773,1898.384276,0.004124832,3.32031,19.9707,BAD,-30.8551,-71.3936,50.85,-30.6997,-70.9223,69.219,248.979,38:22.9,38:33.8,38:41.5,YES,12.56313
15314_19_38_22.858,IL06,4.2,665.967,0.0311394,769.7127675,0.028150664,174.7112308,0.005666885,2.53906,17.1387,BAD,-30.8551,-71.3936,50.85,-30.405,-70.5666,58.0246,237.605,38:22.9,38:39.5,38:51.3,YES,11.13102
15314_19_38_22.858,IL09,4.2,376.41,0.0629676,421.5647033,0.060030637,98.99222591,0.017010762,10.9375,19.1406,BAD,-30.8551,-71.3936,50.85,-30.0378,-70.6979,36.5816,216.231,38:22.9,38:41.3,38:54.8,YES,10.50983
15314_19_38_22.858,IL11,4.2,224.289,0.0860045,230.7453199,0.086500589,45.23109125,0.015104549,4.39453,18.8965,BAD,-30.8551,-71.3936,50.85,-31.608,-71.5259,188.556,8.62389,38:22.9,38:37.6,38:48.6,YES,10.70619
15314_19_38_22.858,IL01,4.2,-1677.62,-0.00971583,-49.75590355,-0.009942719,1335.517053,0.019044281,14.9902,19.9707,BAD,-30.8551,-71.3936,50.85,-31.2569,-71.5899,202.761,22.8615,38:22.9,38:35.7,38:45.0,YES,10.67593
